status,cum_ofi,abs_ofi,n_quotes,n_trades,total_volume,mean_spread,std_spread,mean_mp_dev_abs,spread_spike_minutes,day,ticker,vix1d_prior,vix9d_prior,vix_spread_prior
ok,-1098388.0,1098388.0,8743148.0,23514.0,1513652.0,0.03671073684268314,0.0504092264885614,0.006455416841902058,29.0,2026-01-30,QQQ,13.72,15.22,-1.5
ok,-827107.0,827107.0,4419426.0,42047.0,2630390.0,0.01770146290557327,0.06391482699116031,0.0029630661120717047,34.0,2026-02-02,SPY,16.4,15.69,0.7099999999999991
ok,-4340566.0,4340566.0,5661690.0,17561.0,1228314.0,0.028948717935131648,0.05948037255835691,0.006010375534706945,19.0,2026-02-02,QQQ,16.4,15.69,0.7099999999999991
ok,-571504.0,571504.0,7228299.0,45919.0,2801310.0,0.01912352932957079,0.024942973181197203,0.0029837957043329782,22.0,2026-02-03,SPY,9.48,14.45,-4.969999999999999
ok,16811.0,16811.0,9347690.0,29230.0,1846840.0,0.030679713664686546,0.026111939069874045,0.0054798212507942935,15.0,2026-02-03,QQQ,9.48,14.45,-4.969999999999999
ok,-1758156.0,1758156.0,8276827.0,45700.0,2725139.0,0.026244521752661936,0.046700102118018526,0.004375243273730593,16.0,2026-02-04,SPY,14.46,17.07,-2.6099999999999994
ok,910813.0,910813.0,10164616.0,31786.0,2074393.0,0.03914633642439457,0.052090754488780505,0.006475512166771232,27.0,2026-02-04,QQQ,14.46,17.07,-2.6099999999999994
ok,-2449260.0,2449260.0,5910999.0,28111.0,1973620.0,0.04616124969844359,0.0398025450397526,0.008916922193072208,14.0,2026-02-05,SPY,17.5,18.67,-1.1700000000000017
ok,-261965.0,261965.0,9713453.0,22144.0,1440078.0,0.05117482168458744,0.05012439026678292,0.008741130951519892,16.0,2026-02-05,QQQ,17.5,18.67,-1.1700000000000017
ok,1762725.0,1762725.0,6214578.0,51227.0,2872814.0,0.01960343708137706,0.016836410083891716,0.003035116408292437,14.0,2026-02-06,SPY,22.15,22.29,-0.14000000000000057
ok,-777841.0,777841.0,5900236.0,18073.0,1155265.0,0.04812763665434894,0.06466250065044593,0.008284634052849552,22.0,2026-02-06,QQQ,22.15,22.29,-0.14000000000000057
ok,-1098431.0,1098431.0,2481657.0,25948.0,1436107.0,0.032979025707420805,0.06378155370237784,0.005963554124258384,27.0,2026-02-09,SPY,14.98,15.43,-0.4499999999999993
ok,2963736.0,2963736.0,6012597.0,26678.0,1604903.0,0.028525653723341433,0.051958503459320175,0.004996899449497388,28.0,2026-02-09,QQQ,14.98,15.43,-0.4499999999999993
ok,86449.0,86449.0,2851644.0,22710.0,1426925.0,0.028360098048841122,0.036524562984718324,0.004915596323886529,27.0,2026-02-10,SPY,10.64,14.75,-4.109999999999999
ok,2648730.0,2648730.0,6725998.0,21685.0,1476636.0,0.025637416755773915,0.02687528804531314,0.004369928616911821,21.0,2026-02-10,QQQ,10.64,14.75,-4.109999999999999
ok,-2189809.0,2189809.0,3010333.0,22629.0,1447785.0,0.03701094930882892,0.08571889719498477,0.006562264107612041,11.0,2026-02-11,SPY,13.64,14.94,-1.299999999999999
ok,2113138.0,2113138.0,6716717.0,13627.0,918596.0,0.04324871655991382,0.3070095853502024,0.0076318635272327,18.0,2026-02-11,QQQ,13.64,14.94,-1.299999999999999
ok,-1848433.0,1848433.0,4806130.0,36544.0,2429671.0,0.027842697129512168,0.033367522077108205,0.004779870632793144,22.0,2026-02-12,SPY,12.15,14.18,-2.0299999999999994
ok,-199918.0,199918.0,9118938.0,17763.0,1179003.0,0.03938196716655351,0.038982043244395304,0.006630663329231427,21.0,2026-02-12,QQQ,12.15,14.18,-2.0299999999999994
ok,-6831408.0,6831408.0,4513506.0,37058.0,2330489.0,0.0510715862727523,0.06927686694227583,0.008764695774625648,22.0,2026-02-13,SPY,21.51,19.8,1.7100000000000009
ok,-38955.0,38955.0,8345969.0,28135.0,1799860.0,0.03937504553096804,0.05938748705129475,0.006324412257599772,28.0,2026-02-13,QQQ,21.51,19.8,1.7100000000000009
ok,-751683.0,751683.0,4924168.0,24295.0,1500612.0,0.04466984568151358,0.08914895135761493,0.007319857398557917,17.0,2026-02-17,SPY,22.43,18.77,3.66
ok,602896.0,602896.0,7758783.0,13212.0,883783.0,0.052706208965842286,0.07947125615125618,0.008744209506888674,22.0,2026-02-17,QQQ,22.43,18.77,3.66
ok,131953.0,131953.0,5834289.0,41021.0,2411568.0,0.021355075519172838,0.031015011358984657,0.003296359792555711,26.0,2026-02-18,SPY,16.16,20.31,-4.149999999999999
ok,415790.0,415790.0,6899886.0,28870.0,1731006.0,0.028119094824837442,0.047024507244313736,0.004482888943615719,25.0,2026-02-18,QQQ,16.16,20.31,-4.149999999999999
ok,1113171.0,1113171.0,6909246.0,42270.0,2217715.0,0.02081758846204927,0.012621035390456649,0.0031082949760720307,32.0,2026-02-19,SPY,14.58,19.08,-4.499999999999998
ok,183398.0,183398.0,7043926.0,14931.0,942038.0,0.03671116654746202,0.044922257907735574,0.006398876635529894,26.0,2026-02-19,QQQ,14.58,19.08,-4.499999999999998
ok,-582821.0,582821.0,5819604.0,38587.0,2186436.0,0.03328180456481813,0.04216724775749855,0.005463371537385015,22.0,2026-02-20,SPY,16.62,19.87,-3.25
ok,963736.0,963736.0,7972207.0,18068.0,1140842.0,0.04900487820175095,0.06717706367524263,0.008234953408672028,22.0,2026-02-20,QQQ,16.62,19.87,-3.25
ok,-122126.0,122126.0,4708675.0,28153.0,1893008.0,0.029663989972537993,0.04305632242460784,0.005514889456477077,28.0,2026-02-23,SPY,17.78,18.02,-0.23999999999999844
ok,2824497.0,2824497.0,7723524.0,16619.0,1081006.0,0.033399072805941225,0.04184477237405712,0.006049058778653973,21.0,2026-02-23,QQQ,17.78,18.02,-0.23999999999999844
ok,-193956.0,193956.0,4141754.0,27226.0,1688650.0,0.02773208964034776,0.04719487243107289,0.004884897492861225,21.0,2026-02-24,SPY,15.07,21.11,-6.039999999999999
ok,1420564.0,1420564.0,6446217.0,19272.0,1164155.0,0.03232351889031225,0.06236187816831896,0.006145627814847011,15.0,2026-02-24,QQQ,15.07,21.11,-6.039999999999999
ok,4858349.0,4858349.0,2196948.0,16971.0,1082415.0,0.026730544705902647,0.06119834982936981,0.006250032464004033,28.0,2026-02-25,SPY,12.71,18.6,-5.890000000000001
ok,2326722.0,2326722.0,3383012.0,15802.0,1080596.0,0.030805738085314494,0.037021093794490124,0.005775536231396354,14.0,2026-02-25,QQQ,12.71,18.6,-5.890000000000001
ok,-908403.0,908403.0,4845688.0,24340.0,1475495.0,0.03270361792284764,0.5424174883965011,0.006110212107209417,14.0,2026-02-26,SPY,16.09,16.28,-0.19000000000000128
ok,2874209.0,2874209.0,8185224.0,34123.0,2016424.0,0.0278615300373403,0.03108854352826728,0.005124731254620011,22.0,2026-02-26,QQQ,16.09,16.28,-0.19000000000000128
ok,-664142.0,664142.0,5815747.0,50476.0,3165636.0,0.028817522164065572,0.028647424983737586,0.0053332857393606405,21.0,2026-02-27,SPY,13.68,16.65,-2.969999999999999
